Timestamp,Gender,"We were playing baseball yesterday, and I got hit right in the dick!",My cunt has been itchy all morning today.,I will fuck my wife when she gets home from work.,"The campus smells like ass, I can't even focus because I’m trying to breathe normally.",That man over there has some really nice tits.,The person who hit my car is such a cunt!,"Stop saying stuff like that, you dick!","I hate texting, especially when I get a dry-ass reply.",Fuck off! I am trying to do my homework.,"Hey, sugar-tits, can I get your digits.",I cannot stand his annoying ass. ,Fuck! I think I’ve failed the test.,"To be honest, that guy is kind of a dick.",Stop being a cunt to the waitress and order already!,"Stop looking at my tits, you pervert!"
10/17/2019 11:38,Male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/17/2019 12:07,Female,2,4,2,1,3,1,1,1,1,3,1,1,1,1,1
10/17/2019 12:17,Male,1,1,1,1,1,1,1,1,4,7,1,1,1,1,1
10/17/2019 13:59,Male,6,7,7,2,4,1,1,1,1,5,2,1,1,2,3
10/17/2019 14:39,Female,5,4,5,2,3,5,4,1,1,6,3,2,3,5,4
10/17/2019 23:10,Female,1,7,3,2,3,5,1,1,3,7,1,1,1,7,2
10/18/2019 13:36,Female,4,7,6,1,5,6,4,1,2,7,1,2,2,6,3
10/18/2019 17:41,Male,1,5,6,2,1,4,1,1,1,6,1,1,1,5,2
10/18/2019 18:03,Male,2,6,6,2,3,4,3,2,1,5,5,2,1,5,2
10/22/2019 22:31,Male,3,7,7,2,5,5,5,1,5,6,4,4,5,5,3
10/23/2019 12:17,Male,2,3,4,2,3,3,1,1,1,3,1,1,1,4,1
10/23/2019 15:06,Female,3,5,5,2,3,5,2,1,2,6,2,1,2,4,4
10/23/2019 15:10,Female,2,5,3,1,3,4,2,1,3,5,1,3,2,5,3
10/23/2019 15:11,Female,2,4,6,1,1,2,1,1,3,3,1,1,1,3,2
10/23/2019 16:17,Male,1,3,4,2,3,2,2,1,3,4,1,1,1,3,2
10/23/2019 16:33,Female,5,6,6,5,4,6,5,3,5,3,3,4,4,5,5
10/23/2019 16:43,Female,1,4,7,1,7,4,4,2,2,7,3,1,1,3,4
10/23/2019 21:50,Female,1,3,2,2,1,5,4,4,5,2,2,2,4,7,4
10/24/2019 7:10,Male,3,5,5,2,2,6,3,2,2,4,1,2,3,6,5
10/24/2019 7:20,Female,4,7,5,2,3,6,3,2,2,3,2,3,3,6,4
10/27/2019 17:19,Male,1,4,6,2,5,3,1,1,1,6,2,1,3,2,1
10/28/2019 12:50,Male,3,4,5,3,3,5,4,2,4,2,2,4,4,5,4
10/29/2019 15:33,Male,3,7,7,3,5,7,3,3,1,7,1,1,1,7,1
10/29/2019 15:44,Male,3,6,6,5,6,7,3,3,3,7,3,2,2,3,5
10/29/2019 15:51,Female,2,5,6,2,5,1,1,1,2,5,1,1,1,4,4
11/2/2019 1:16,Female,2,4,4,2,5,3,2,1,1,4,1,1,1,3,4
